dialog_id,speaker,text
9,spk1," It'll be close , but we'll make it . "
9,spk0," Good . After Stars.com starts paying us , we won't need Vikam's cash anymore . "
9,spk1," And if we don't need them , we won't need Zina , either . "
10,spk0,Do you like cooking ? 
10,spk1, Yes . I like cooking very much . I got this hobby when I was 12 years sold . 
10,spk0, Why do you like it ? 
10,spk1, I have no idea . I like cooking by myself . I like to taste delicious food . 
10,spk0, That's wonderful ! 
10,spk1," And I love trying new recipes , which I usually test with my friends . You can come , too . "
10,spk0, Really ? I hope I can have a chance to taste it . Don't forget to tell me . 
10,spk1, Certainly . 
11,spk0,Anyone home ? Jen ! 
11,spk1, I'm in the kitchen ... let yourself in ! 
11,spk0, Wow ! You're really working up a storm ! 
11,spk1, I know . I've even worked up a sweat . 
11,spk0, You look like a cooking show host--only messier . 
12,spk0,You look so tan and healthy ! 
12,spk1, Thanks . I just got back from summer camp . 
12,spk0, How was it ? 
12,spk1, Great . I got to try so many things for the first time . 
12,spk0, Like what ? 
12,spk1," I went sailing , fishing , and horseback riding . "
12,spk0, I ’ m so jealous . 
12,spk1, The counselors were so nice too . It was the best summer ever . Except for all those mosquitoes ! 
13,spk0,"Diana , do you like the perfume I gave you ? "
13,spk1," It ’ s good . But to tell you the truth , I don ’ t wear perfume . "
13,spk0, I ’ m sorry . I didn ’ t know that . 
13,spk1, That ’ s all right . Thank you all the same . 
14,spk0,"Ah , ah , ah ... "
14,spk1," All right , Bill.Here ' s your daily exercise schedule . You are to jog before breakfast . "
14,spk0, Jog ? 
14,spk1," Then , you are to walk to work . "
14,spk0, Walk ? 
14,spk1, Thirty minutes in gym at lunch time . 
14,spk0, Oh no . 
14,spk1," Use the stairs , never the elevator . "
14,spk0," Oh , dear . "
14,spk1," And three times a week , you can either swim , play racketball , or hand ball . "
14,spk0, Oh no . 
14,spk1," OK , you can stop now.It ' s time for the dance class . "
14,spk0, Dance class ! I don't know how . 
14,spk1, You will . 
14,spk0, Oh ... 
15,spk0,"Hi Bill , I saw your grandma yesterday . "
15,spk1, Oh where was that ? 
15,spk0, I was running around the track at my college and there she was walking around the same track . 
15,spk1, Grannie always tries to stay fit and healthy.She is always making us kids eat the proper foods . 
15,spk0," Well , it pays off for her.How old is she anyway ? "
15,spk1, She will be 86 next month . 
15,spk0, That is truly amazing ! 
16,spk0,I would like to register for a class today . 
16,spk1," No problem , what class would you like to take ? "
16,spk0, I would very much enjoy taking a Psychology class.Because I'm crazy . 
16,spk1, There are two classes that are still open . 
16,spk0, Which days are these classes on ? 
16,spk1, The first class is a Tuesday and Thursday class from two to three . 
16,spk0, What about the other class ? 
16,spk1, The other class is on Monday and Wednesday from 10 am - 12 . 
16,spk0, Are you sure there are no more open classes ? 
16,spk1, I'm positive . 
16,spk0, Sign me up for Monday and Wednesday . 
16,spk1," Okay , I'll sign you up . "
17,spk0,"Dad , why are you taping the windows ? "
17,spk1," Honey , a typhoon is coming . "
17,spk0," Really ? Wow , I don't have to go to school tomorrow . "
17,spk1," Jenny , come and help , we need to prepare more food . "
17,spk0, OK . Dad ! I'm coming . 
18,spk0,"Hi , my name is Lean , and I'm from Russia . "
18,spk1," Nice to meet you , Lean . My name is Alike . I'm from Japan . "
18,spk0, To me English is a difficult language . 
18,spk1, A second language is always difficult . 
18,spk0," True , but English is harder than most . It's a crazy language . "
18,spk1, A crazy language ? Why do you say that ? 
18,spk0, One letter can have several pronunciations and one word can have several meanings . 
18,spk1, No wonder you say English is a crazy language . 
19,spk0,Can I help you ? 
19,spk1," I hope so . I'm looking for some material for a paper I'm writing , and I'm not quite sure where to look . "
19,spk0, I'll certainly try to help you . What topic is your paper on ? 
19,spk1, My paper is on the influence of television on children . 
19,spk0, There are several possible sources you might use for that topic . I suggest you use the computer and the computer will give you a list of every scientific journal that talks about children and television . 
19,spk1, Thank you for you help . 
20,spk0,Here ’ s your hot dog and beer . What happened ? Did I miss anything ? 
20,spk1," Yeah , Cal Ripen just hit a home run . "
20,spk0, What ’ s the score ? 
20,spk1," Well it was 3 to 4 , but Ripen ’ s home run made it 5 to 4 since another player was on first base . "
20,spk0, So Baltimore is winning ? 
20,spk1, Right . 
20,spk0, This is a really great place to watch a baseball game . 
20,spk1," Yeah , there isn ’ t a bad seat in the place . "
20,spk0," The fans are great here , too . Not like in Philadelphia . "
20,spk1, It was a great idea to spend a day watching a game . 
20,spk0," Yeah , it reminds you why they say baseball is America ’ s favorite pastime . "
21,spk0,How do you like the pizza here ? 
21,spk1, Perfect . It really hits the spot . 
22,spk0,Do you have a light ? 
22,spk1," Sorry , I don't smoke . "
23,spk0,I was scared stiff of giving my first performance . 
23,spk1, Were you ? your performance was excellent . 
23,spk0, Thank you for your kindly words . 
24,spk0,Excuse me . Could you please take a picture of us with this camera ? 
24,spk1, Sure . Which button do I press to shoot ? 
24,spk0, This one . 
24,spk1, Do I have to focus it ? 
24,spk0," No , this is a focus-free camera . All you have to do is point and press the button . "
24,spk1, All right . Say cheese ! 
25,spk0,Every country should face the history . 
25,spk1," Yeah , we don ’ t live in the vacuum . We have traditional values and long but different history . "
25,spk0," Sometimes , we , human beings , really had done something wrong , so we should admit it at first . "
25,spk1, But there is always somebody who wants to turn his back on the true history . 
25,spk0," I believe such things won ’ t be realized , just daydreaming . "
26,spk0,"Do you like traveling , Kathy ? "
26,spk1," I like traveling for pleasure to get places for vacation for instance . But I don ’ t like traveling to work , waiting for buses , or ... "
26,spk0, Or getting stuck in traffic jams when you ’ re driving . 
26,spk1, Exactly . 
27,spk0,Your house is too small . Why not buy a big one . 
27,spk1, I do wish I could afford one . 
27,spk0, You can get a loan from the bank . You know LPF program provides low cost loans for participants home purchases . 
27,spk1, Of course I know that . But don't you notice that the house price is skyrocketing ? 
28,spk0,"How do you do , Prof.Smith . "
28,spk1," How do you do , Ms . Yang.You speak very good English . "
28,spk0, Thank you . I begin to like English even when I was a child . 
28,spk1, Where did you learn it ? 
28,spk0," At school , in China.This is my first time to be out of my own country . "
28,spk1, It's amazing . 
29,spk0,Do you want black or white coffee ? 
29,spk1," White , please "
29,spk0, Look ! there's a Folk concert tomorrow evening . Do you Want to go ? 
29,spk1, I don't like Folk music very much . 
29,spk0, What kind of music do you like ? 
29,spk1, I like classical music . Do you ? 
29,spk0, Not very much . Classical music sends me to sleep 
29,spk1, I don't believe you . 
29,spk0, It ’ s true . 
29,spk1, You are funny ! 
29,spk0, So are you ! How about another coffee ? 
30,spk0,What do you like to do in your spare time ? 
30,spk1, I like playing chess . 
30,spk0, Do you have any hobbies besides playing chess ? 
30,spk1, I'm afraid not . 
30,spk0, Do you have any hobbies like playing tennis or things like that ? 
30,spk1," Oh , yes . I like playing basketball . "
30,spk0, Can you tell me why you like it ? 
30,spk1, Because I like the feeling of cooperating with others . 
31,spk0,Where is John ? I can't find him anywhere . 
31,spk1, Haven't you heard that he is in prison ? 
31,spk0, What ? Beg your pardon . 
31,spk1, John is in prison now . He was copped outstealing . 
31,spk0, I just cann't believe my ears ! 
32,spk0,Can I help you ? 
32,spk1," I hope so . I'm looking for some material for a paper I'm writing , and I'm not quite sure where to look . "
32,spk0, I'll certainly try to help you.What topic is your paper on ? 
32,spk1, My paper is on the influence of television on children . 
32,spk0, There are several possible sources you might use for that topic . I suggest you use the computer and the computer will give you a list of every scientific journal that talks about children and television . 
32,spk1, Thank you for you help . 
33,spk0,"Hey , Ted . What are you up to this Friday ? "
33,spk1," Well , I have the day off from work . "
33,spk0, That ’ s great ! Do you have any plans ? 
33,spk1," Well , I ’ Ve been working so hard lately , so I ’ ll probably just take it easy . "
33,spk0, Sounds nice . 
33,spk1," Yeah , I ’ ll probably just stay in and relax . Maybe watch a few movies . "
33,spk0, Can I stop by ? 
33,spk1, Sure . Any time . 
34,spk0,You honestly believe the world ’ s improving every year ? 
34,spk1," Yes , I do . I think that science is making us wiser . What do you think ? "
34,spk0, I don ’ t think you ’ re right there . 
34,spk1, I believe industry is making us wealthier . 
34,spk0, I don ’ t believe that . 
34,spk1," And in my opinion , medicine is making us healthier . "
34,spk0," I agree with you in the sense . But we ’ re all more miserable than ever , aren ’ t we ? "
34,spk1," I don ’ t agree with you . I maintain that we ’ re healthier , wealthier and wiser than we were a hundred years ago . "
34,spk0, That ’ s your opinion not mine . 
35,spk0,What do you plan to do for your birthday ? 
35,spk1," I want to have a picnic with my friends , Mum . "
35,spk0, How about a party at home ? That way we can get together and celebrate it . 
35,spk1," OK , Mum . I'll invite my friends home . "
36,spk0,How may I help you ? 
36,spk1, I would like to return this book . 
36,spk0, Is that all you need ? 
36,spk1, I also want to check out this video . 
36,spk0, Is that all you would like to check out ? 
36,spk1, That ’ s all I need . 
36,spk0, Do you have your library card ? 
36,spk1, Here it is . 
36,spk0, Make sure to take proper care of this video . 
36,spk1, That won ’ t be a problem . 
36,spk0," If you damage the video , you will be fined . "
36,spk1, I won ’ t damage it . 
37,spk0,What's the matter with you then ? You look miserable . 
37,spk1, It's us . 
37,spk0, What do you mean by us . 
37,spk1," Well , you always say you're busy . "
37,spk0, That's right . 
37,spk1, And you often go back to live with your parents and leave our son in the room by himself . 
37,spk0," I ... I ... I miss my parents , also they miss me . "
37,spk1," Oh I remember , I cut terrible calls , and you didn't say anything about it . "
37,spk0, You mean I am groaned a few words ? 
37,spk1, Totally not . Perhaps it's about our marriage . 
38,spk0,"Hi , Mary . You look pale today . What's the matter with you ? "
38,spk1, I think I've caught a cold . Now I'm aching all over . 
38,spk0, You'd better take some medicine and have a good rest . I hope you'll be yourself pretty soon . 
38,spk1, Thank you . I suppose I should go to see a doctor . 
39,spk0,"I feel like going for a drink , it's been a long day . "
39,spk1," Great idea ! Peter , I could use the drink . "
39,spk0, How about the new bar across road ? 
39,spk1," Sounds good . The food there is fantastic , too . "
39,spk0," I agree , I had lunch there last week . "
39,spk1, excellent ! That sounds like a plan . 
40,spk0,"Could you tell me the right time , please ? "
40,spk1, Well . My watch says five past two . But it ’ s no use rely on it because it has been gaining and losing these last a few days . 
40,spk0, You have to go and fix it . 
40,spk1, Yes . I will . 
41,spk0,does your family have a record of your ancestors ? 
41,spk1, sure . My mom has been working on our family tree for years . She ’ s always updating it . 
41,spk0, do you have a copy of your family tree in your house ? I ’ d love to see it . 
41,spk1," I can show it to you now , if you like . I think it goes back about 8 generations so far . "
41,spk0, that ’ s amazing . Do you have a large extended family ? 
41,spk1, I ’ Ve got 30 cousins on my mom ’ s side and 10 cousins on my dad ’ s side . 
41,spk0, are you very close to your first-cousins ? 
41,spk1," the ones that are my age are close relatives . Now that I ’ m older , I don ’ t spend as much time with them as I used to , so I don ’ t know my younger cousins as well as the older ones . "
41,spk0, I see . who ’ s the head of your household ? 
41,spk1," it ’ s definitely my mother . And , her mother is definitely the matriarch of the bigger family . "
41,spk0, that ’ s interesting . What does your grandfather think of your step-mother ? 
41,spk1," at first , she was quite critical of her , but now that they ’ Ve been married for a few years , she ’ s starting to accept the fact that my father divorced my mother . "
41,spk0," that ’ s pretty much how you feel about your step-mother . Like grandmother , like grandson . "
42,spk0,"Hi , Mr . Wang . Do you feel like going boating with me ? "
42,spk1," Sounds interesting , I haven't gone boating for some time now , and what time ? "
42,spk0, How about tomorrow afternoon ? 
42,spk1, Sure . Where shall I meet you ? 
42,spk0, At the gate of the park . 
42,spk1, Great . I look forward to meeting you . 
42,spk0, See you then . 
42,spk1, See you . 
43,spk0,I hear that you've been to the Saikei Ski Resort for the weekend . Did you enjoy it ? 
43,spk1," Yes , it's so exciting , though I had the most falls in our skiing team . "
43,spk0, Isn't there any coach to teach you how to ski ? 
43,spk1, Of course there is . The top-level coaches there are from the State Sports General Administration . 
43,spk0, Could you move smoothly ? 
43,spk1, Yes.My face even ached in the icy wind . 
43,spk0, What happened afterwards ? 
43,spk1, I was skiing on and on excitedly until I realized one thing-I could not stop ! You can just imagine how terrified I was . 
43,spk0, Poor girl ! 
44,spk0,You look pale recently . 
44,spk1, Yeah . I have got much pressure in the company . I have tobe wrapped upon my work . 
44,spk0, Take good care of yourself . 
44,spk1, Thank you . I will . 
45,spk0,"Hey , Maggy , Did you hear about David ? "
45,spk1," About David ? No , I didn ’ t hear anything . "
45,spk0," You know , about David and his new boss . "
45,spk1," Sorry , I don ’ t quite follow you . "
45,spk0," Well , I heard David has been fired . "
45,spk1," Oh , that is a shame . He is really hard working . "
46,spk0,how do you usually get to school ? 
46,spk1, I usually ride my bike . Which form of transport do you prefer to use ? 
46,spk0," I feel that I can see more when I pedal a bicycle , but when I feel lazy , I drive my car . "
46,spk1, I think we should discourage people from using their private cars . They produce too much pollution ! 
46,spk0," I agree , but I would find it difficult to stop using my car . It's just so convenient . "
46,spk1," cars might be convenient , but they're so bad for the environment . "
46,spk0, do you have a car ? 
46,spk1," no . I used to have one though . Once I started using my bicycle to get around , I found that I didn't really need it . "
46,spk0," maybe if I sold my car now , I wouldn't be so tempted to use it . "
46,spk1, you could try . It would save you a lot of money . 
46,spk0," that's true . Every month , I spend hundreds of dollars on gas , insurance , and repairs . "
46,spk1," if you got to class by riding a bicycle every day instead of driving , you will get lots of exercise , too ! "
46,spk0, I could stand to lose a few pounds . Having a car has made me lazy . I never end up walking anywhere ! 
46,spk1, let's go to a car dealership . I'll help you try to sell your car for a good price . 
46,spk0, sounds good ! Let's go ! 
47,spk0,What's wrong with him ? 
47,spk1, His nose is out of joint because we forgot to invite him to the party . 
48,spk0,"What are you going to do for one year abroad , Tom ? "
48,spk1," Study , study , study . I want to learn a lot . "
48,spk0, You are going to take courses ? 
48,spk1, Yes . I am going to take some university courses there . 
48,spk0, Sounds hard . 
48,spk1," Yes , but I think it's probably for the best . "
48,spk0, Won ’ t you get lonely ? 
48,spk1," Hey , I am a pretty cool guy . I will make friends , and I'll have a lot of extracurricular activities too . You know , like fencing , or theater or something . "
49,spk0,"Isn't this lovely weather ? Will you help me water the flowers , Jack ? "
49,spk1," Well , do you think I have to ? "
49,spk0, I do.We haven't watered them for quite a few days . 
49,spk1, Please look at the sky.Don ' t you see the dark clouds ? It's going to rain soon . 
49,spk0, Good.So we don't have to work.How nice ! 
49,spk1, But I don't think it's so nice . 
49,spk0, Why ? 
49,spk1, The weather report says it's going to rain for a whole week . 
49,spk0," Oh , I'm afraid all the flowers will die in the rain . "
50,spk0,"On , darn . The grocery store is closed . "
50,spk1," Yeah , this one closes at ten . We could drive to the 24 - hour store on sixth . "
50,spk0, Alright . We are out of everything . 
50,spk1, I wish the store close to us was open 24 - house a day . 
50,spk0," I know , our schedules are so weird . Sometimes , the little corner store is the only thing within walking distance that ’ s open when we get home . "
50,spk1," Yeah , and the prices there are very high . "
50,spk0, I know . Three dollars for milk . 
51,spk0,Do you think they two will get married ? 
51,spk1, You can count on it . 
51,spk0," I think so.Yes , they get along so well . "
51,spk1, I like him.He ' s good for her . 
51,spk0, You're right . He sure is . 
52,spk0,"Dad , where are we off to ? "
52,spk1, First we will go to the city centre and stop for something to drink . Then we will visit the University Museum . 
52,spk0, Where are we going to have a drink ? 
52,spk1, There is a coffee shop round the corner . Can you see that big building at the end of the road ? 
52,spk0, Yes ? 
52,spk1, That is a bank . The coffee shop is opposite the bank . 
52,spk0, Good . I will have hot chocolate . 
52,spk1, A stop ! Wait for the lights to turn green . 
52,spk0, When crossing the road you must always pay attention to what's around you . 
52,spk1, Sorry . How far is the museum ? 
52,spk0, I am not sure . We will ask for directions in the coffee shop . 
52,spk1, Here we are . You find us a table and I'll get the drinks . 
53,spk0,How about going to the cinema tonight ? 
53,spk1, That's great . What's on tonight ? 
53,spk0," I am not sure about the name of the film , but I know it's a romantic one . "
53,spk1, Romantic ? I am afraid I like thrillers better . 
53,spk0, Don't you think it's too bloody ? 
53,spk1," On the contrary , very exciting . "
54,spk0,I feel so uncomfortable . 
54,spk1, Are you sick ? 
54,spk0, No . The teacher is dragging the chalk over the blackboard . It set my teeth on edge . 
54,spk1, He ’ ll finish writing in a minute . 
55,spk0,I have made up my mind . I am getting a tattoo . 
55,spk1, Really ? Are you sure ? 
55,spk0, Yeah ! Why not ? They are trendy and look great ! I want to get a dragon on my arm or maybe a tiger on my back . 
55,spk1," Yeah but , it is something that you will have forever ! They use indelible ink that can only be removed with laser treatment . On top of all that , I have heard it hurts a lot ! "
55,spk0, Really ? 
55,spk1, Of course ! They use this machine with a needle that pokes your skin and inserts the ink . 
55,spk0," Oh , I didn ’ t know that ! I thought they just paint it on your skin or something . "
55,spk1," I think you should reconsider and do some more research about tattoos . Also , find out where the nearest tattoo parlor is and make sure they used sterilized needles , and that the place is hygienic . "
55,spk0, Maybe I should just get a tongue piercing ! 
56,spk0,"Excuse me , what's the screen near your steering wheel for ? "
56,spk1, It's a portable TV . It's a popular thing now . 
56,spk0," Oh , that's new to me . So what's on everyday ? "
56,spk1," News about current affairs , documentaries , music , movies , noncommercial ads and so on . "
56,spk0, Is there anything interesting ? 
56,spk1," Yes , there are something good and informative . I think that many people underestimate the value of TV in education . "
56,spk0, I agree . Are there any commercials on the TV ? 
56,spk1, Of course . Because the TV stations need to make money from commercials between the programs . 
56,spk0, That makes a lot of sense . Does the TV work well ? 
56,spk1, Not always . It depends on the transmission of the satellite signals . 
56,spk0, I got it . Do you pay for the programs ? 
56,spk1," Yes , 50 Yuan per month . "
57,spk0,"Oh , no ! "
57,spk1, How dreadful ! 
57,spk0, Look at the view from the window . 
57,spk1," Oh , dear . That ’ s terrible . Not at all what I expected . "
57,spk0," It ’ s awful , isn ’ t it ? "
57,spk1, I can ’ t bear to look at it . I ’ m rather disappointed . 
57,spk0, It can ’ t be helped . 
58,spk0,"What do you do in your free time , Nancy ? "
58,spk1," Well , I like playing the violin . "
58,spk0, Really ? How long have you been playing the violin ? 
58,spk1, About ten years so far . I started learning when I was in middle school . 
58,spk0, That's really interesting . 
58,spk1, Sure . So what about you ? Do you have any hobbies ? 
58,spk0," Well , I like collecting matchbox ! I'm not sure if that counts , though . "
58,spk1, Of course it does . Everybody has his own hobby . 
59,spk0,How can I tell her about this ? 
59,spk1," Don't worry , you'll find a way . "
59,spk0, There is no need to be so frustrated . 
59,spk1, How can you live without job in the future ? 
59,spk0," Don't worry , you'll find a way . "
60,spk0,What sports do you like to play ? 
60,spk1, I like baseball and basketball . 
60,spk0, How about football ? 
60,spk1," In my country football is brand new , so I never learned the game when I was younger . "
60,spk0, It's a very popular game in America . 
60,spk1, Yeah . I heard a lot about it . Is it really that fun ? 
60,spk0," For me , it's one of those games that are fun to both watch and play . "
60,spk1, Are you a football player ? 
60,spk0," No , I just for fun with my friends . We play two hand touch or flag football . We're too old to play tackle football . "
60,spk1, What is two hand touch and flag football ? 
60,spk0," Instead of tackling somebody , you just have to touch them with two hands , or if it is flag football , grab the flag that the ball carrier is wearing . "
60,spk1, I see . It's safer then right ? 
60,spk0," Exactly . We play every Saturdays on the field by the tennis courts . If you want to learn and play a little , you're welcome to join us . "
60,spk1, I'll give it a try . Give me a call and let's go down together . 
60,spk0, Ok . I'll call you Saturday morning . 
60,spk1, Great . 
61,spk0,What upsets you ? 
61,spk1," My parents called . As usual , they reminded me again that I should have a plan to marry by my late 20s . Easier said then done . Who should I marry ? I have no time to go on a date . "
61,spk0, It is not your mother finding one for you ? 
61,spk1," I will find one myself , of course . I ’ m a modern girl . "
61,spk0," Perhaps you can try the three minutes date , the latest type . "
61,spk1," You mean dozens of the opposite sex meet each other for three minutes in a dimly bar serving alcohol , I hate that idea . "
61,spk0," No , there is an updated virgin , three minutes video date . I know an online dating website providing such service with a microphone and webcam , you can sigh for it . You can be face-to-face with a guy talking for maximum three minutes . "
61,spk1, I don ’ t think it makes sense . Three minutes is such a short time . 
61,spk0," I think you can find out if there is a possibility of romance within the first second of meeting someone , so-called love at first sight . "
61,spk1," Anyway , I don ’ t want to post my face up for sale on the internet like that . "
61,spk0," Don ’ t worry . There are many other options using the internet as dating methods . Some sites operate at international standard even have got certifications . Of course , for these sites , you have to pay a membership fee . But all in all , it is more serious and professional . The chance of meeting a good and serious person who does not play games is higher . "
61,spk1, I don ’ t want to post my personal information on the internet . I ’ m not knowing who is reading it . 
62,spk0,Are you going to the party on Saturday ? 
62,spk1, I was thinking about it . Are you ? 
62,spk0," Yeah , I heard it's going to be a lot of fun . "
62,spk1," Really ? Well , what time does it start ? "
62,spk0, It starts at 8 
62,spk1," Well , who all is going to be there ? "
62,spk0, Everyone from school . 
62,spk1, How do you know it's going to be so fun ? 
62,spk0," This party is going to have a DJ , food , and drinks . "
62,spk1," Wow , that does sound like it's going to be fun . "
62,spk0, So am I going to see you at the party ? 
62,spk1," Yeah , I will be there . "
63,spk0,Could you talk to me for a few minutes about my grades ? 
63,spk1, Step into my office for a moment . What is your concern ? 
63,spk0, Am I failing ? 
63,spk1, Let's go on the computer to see what's up . Do you think you are doing well ? 
63,spk0, I am pretty sure that I am in trouble . 
63,spk1," I can see that you are trying , but where do you think you could improve ? "
63,spk0, I missed a few classes ; I need to make sure I come to school on a regular basis . 
63,spk1," Having a regular study routine and following it is very important , right ? "
63,spk0, I'll try ; it's hard ! 
63,spk1, Thanks for stopping by ! 
64,spk0,Good luck on your test tomorrow . We'll be crossing our fingers for you ! 
64,spk1, Thanks . 
65,spk0,I'll never ever work together with him ! 
65,spk1, What happened ? Quarrel again ? 
65,spk0, Will you take my materials back from him for me ? Please ! 
65,spk1, Don't ask me . I don't wanna be involved in your quarrel . 
66,spk0,"Oh , my God ! I've been cheated ! "
66,spk1, What ? What did you buy ? 
66,spk0, It's a brick ! I can't believe how stupid I was . Damn it ! 
66,spk1, What is it ? Why did you buy a brick ? 
66,spk0," There was a guy on the sidewalk.He had three new boxes , Panasonic video camera boxes.He said he had to get rid of them quick . "
66,spk1, And ? 
66,spk0, So he said he'd sell me one for twenty dollars . A four-hundred-dollar camera for twenty bucks . 
66,spk1, And it's a brick ? 
66,spk0, Yes . 
66,spk1, I can't believe how stupid you are . Why didn't you open the box ? 
66,spk0," I wanted to . But he said , no , the box is still in its plastic wrap from the store.If it's opened , other people won't believe it's new . "
66,spk1, So he had the boxes wrapped in plastic . 
66,spk0," Yes , it was the kind of perfect plastic wrap that comes with new products.Look , it even had a bar-code price sticker on it ! It looked brand new . "
66,spk1, But why would a guy be selling new video cameras for twenty dollars ? 
66,spk0, He said he had to get rid of them . They were stolen . 
66,spk1," Aha ! Now I understand.You were trying to buy stolen goods on the sidewalk.So , what I think is , you deserve to get cheated ! "
66,spk0," C'mon , don't blame me ! I thought it was a new camera . We could use it.We were even thinking about buying a camera . I don't understand how he could have such a perfect-looking box . "
66,spk1, That's no problem.He just has a friend who works in a shop that can do plastic wrap . That's easy.And probably it's the same shop he got the boxes from.Maybe his friend works in an electronics store . They sell video cameras there.Probably they had a couple video camera boxes lying around.So they get the idea of wrapping bricks to sell to fools like you.Twenty dollars a brick . That's a good profit if they can sell enough bricks . 
66,spk0," You're right , Sarah . I was a fool . I can't believe it . How could I fall for such a trick ? "
67,spk0,Is the clock right ? 
